文章标题,发布时间,原文链接
教育部部署2023年全国硕士研究生招生复试录取工作,2023-03-10,https://yz.chsi.com.cn/kyzx/kydt/202303/20230310/2265487748.html
快讯！2023年研考国家线发布,2023-03-10,https://yz.chsi.com.cn/kyzx/kydt/202303/20230310/2265487732.html
研招专业简介 | 一键了解浙江万里学院国际商务硕士（MIB）,2023-03-02,https://yz.chsi.com.cn/kyzx/kydt/202303/20230302/2263524763.html
2022年国民经济和社会发展统计公报发布研究生教育招生124.2万人,2023-03-01,https://yz.chsi.com.cn/kyzx/kydt/202303/20230301/2262779350.html
河北发布硕士研究生招生考试初试成绩复核办法,2023-02-23,https://yz.chsi.com.cn/kyzx/kydt/202302/20230223/2261327365.html
教育部助力高校毕业生尽早就业,2023-02-23,https://yz.chsi.com.cn/kyzx/kydt/202302/20230223/2262224573.html
梦想列车出发！下一站温肯！申请温州肯恩大学研究生看这篇就够了！,2023-02-23,https://yz.chsi.com.cn/kyzx/kydt/202302/20230223/2261082907.html
关于山西省2023年全国硕士研究生招生考试初试成绩公布有关事宜的公告,2023-02-22,https://yz.chsi.com.cn/kyzx/kydt/202302/20230222/2261017041.html
关于海南省2023年全国硕士研究生招生考试(初试)成绩查询的公告,2023-02-21,https://yz.chsi.com.cn/kyzx/kydt/202302/20230221/2260730041.html
贵州省2023年硕士研究生招生考试（初试）成绩查询有关事宜的公告,2023-02-21,https://yz.chsi.com.cn/kyzx/kydt/202302/20230221/2260638021.html
广东省2023年硕士研究生招生考试初试成绩将于2月21日公布,2023-02-21,https://yz.chsi.com.cn/kyzx/kydt/202302/20230221/2260624007.html
浙江2023年研考初试成绩将发布！考生2月21日14点起可以查询,2023-02-21,https://yz.chsi.com.cn/kyzx/kydt/202302/20230221/2260624006.html
黑龙江：2023年全国硕士研究生招生考试（初试）成绩即将公布,2023-02-21,https://yz.chsi.com.cn/kyzx/kydt/202302/20230221/2260624001.html
北京市2023年全国硕士研究生招生考试成绩发布公告,2023-02-20,https://yz.chsi.com.cn/kyzx/kydt/202302/20230220/2260511796.html
河南省2023年硕士研究生招生考试初试成绩即将公布,2023-02-20,https://yz.chsi.com.cn/kyzx/kydt/202302/20230220/2260501934.html
云南省2023年全国硕士研究生招生考试初试成绩查询须知,2023-02-20,https://yz.chsi.com.cn/kyzx/kydt/202302/20230220/2260501935.html
辽宁省2023年全国硕士研究生招生考试初试成绩即将公布,2023-02-20,https://yz.chsi.com.cn/kyzx/kydt/202302/20230220/2260501929.html
关于陕西省2023年全国硕士研究生招生考试初试成绩公布的公告,2023-02-20,https://yz.chsi.com.cn/kyzx/kydt/202302/20230220/2260501925.html
重庆市2023年硕士研究生招生考试初试成绩公布须知,2023-02-20,https://yz.chsi.com.cn/kyzx/kydt/202302/20230220/2260501919.html
广西2023年硕士研究生招生考试成绩查询公告,2023-02-20,https://yz.chsi.com.cn/kyzx/kydt/202302/20230220/2260501917.html
上海：2023年全国硕士研究生招生考试成绩2月21日起公布,2023-02-20,https://yz.chsi.com.cn/kyzx/kydt/202302/20230220/2260505093.html
关于河北省2023年全国硕士研究生招生考试成绩公布时间的通知,2023-02-20,https://yz.chsi.com.cn/kyzx/kydt/202302/20230220/2260501906.html
江西省2023年全国硕士研究生招生考试初试成绩查询及申请复核的公告,2023-02-20,https://yz.chsi.com.cn/kyzx/kydt/202302/20230220/2260498821.html
内蒙古：关于我区2023年硕士研究生招生考试初试成绩公布有关事宜的公告,2023-02-20,https://yz.chsi.com.cn/kyzx/kydt/202302/20230220/2260425339.html
湖南省教育考试院关于2023年全国硕士研究生招生考试考生申请成绩复核有关事项的公告,2023-02-20,https://yz.chsi.com.cn/kyzx/kydt/202302/20230220/2260395347.html
天津市2023年全国硕士研究生招生考试（初试）成绩将于2月21日中午12:00开通查询,2023-02-20,https://yz.chsi.com.cn/kyzx/kydt/202302/20230220/2260358772.html
23日！西藏2023年硕士研究生初试成绩发布,2023-02-20,https://yz.chsi.com.cn/kyzx/kydt/202302/20230220/2260347489.html
甘肃省2023年全国硕士研究生招生考试初试成绩查询公告,2023-02-20,https://yz.chsi.com.cn/kyzx/kydt/202302/20230220/2260347484.html
2023年考研初试成绩公布，宁夏各高校23日后复核成绩,2023-02-20,https://yz.chsi.com.cn/kyzx/kydt/202302/20230220/2260347476.html
自治区2023年全国硕士研究生招生考试考生初试成绩2月22日17时公布,2023-02-20,https://yz.chsi.com.cn/kyzx/kydt/202302/20230220/2260310472.html
湖南省2023年硕士研究生招生考试初试成绩发布公告,2023-02-20,https://yz.chsi.com.cn/kyzx/kydt/202302/20230220/2260310458.html
江苏省2023年硕士研究生初试成绩发布通告,2023-02-20,https://yz.chsi.com.cn/kyzx/kydt/202302/20230220/2260310455.html
关于青海省2023年全国硕士研究生招生考试（初试）成绩发布有关事项的公告,2023-02-17,https://yz.chsi.com.cn/kyzx/kydt/202302/20230217/2260311541.html
四川省2023年全国硕士研究生招生考试成绩查询和申请复核公告,2023-02-16,https://yz.chsi.com.cn/kyzx/kydt/202302/20230216/2260223290.html
关于福建省2023年硕士研究生招生考试初试成绩公布有关事宜的公告,2023-02-16,https://yz.chsi.com.cn/kyzx/kydt/202302/20230216/2260018066.html
安徽关于查询2023年硕士研究生初试成绩的公告,2023-02-16,https://yz.chsi.com.cn/kyzx/kydt/202302/20230216/2260018064.html
关于山东省2023年硕士研究生招生考试初试成绩公布有关事宜的公告,2023-02-15,https://yz.chsi.com.cn/kyzx/kydt/202302/20230215/2259833895.html
安徽省2023考研成绩查询时间：2023年2月21日后,2023-02-14,https://yz.chsi.com.cn/kyzx/kydt/202302/20230214/2259602756.html
天津市2023考研成绩查询时间：2023年2月21日,2023-02-13,https://yz.chsi.com.cn/kyzx/kydt/202302/20230213/2259443681.html
浙江万里学院2023年国际商务、生物与医药、工程管理专业学位硕士,2023-02-10,https://yz.chsi.com.cn/kyzx/kydt/202302/20230210/2256931297.html
孙春兰强调 扎实做好各项准备工作 确保如期安全开学,2023-02-07,https://yz.chsi.com.cn/kyzx/kydt/202302/20230207/2256045303.html
天津：千方百计促进高校毕业生就业创业,2023-02-03,https://yz.chsi.com.cn/kyzx/kydt/202302/20230203/2255693065.html
四川省2023年全国硕士研究生招生考试统考科目评卷工作顺利结束,2023-01-18,https://yz.chsi.com.cn/kyzx/kydt/202301/20230118/2254964662.html
4人在研究生考试中组织作弊，获利40万余元，获刑！,2023-01-18,https://yz.chsi.com.cn/kyzx/kydt/202301/20230118/2254829904.html
【走进研考外语评卷现场】确保公平公正，他们这样做,2023-01-18,https://yz.chsi.com.cn/kyzx/kydt/202301/20230118/2254824586.html
教育部部署开展寒假促就业“暖心行动”,2023-01-18,https://yz.chsi.com.cn/kyzx/kydt/202301/20230118/2254880409.html
我在温州肯恩大学读研的日子 | 夏梦春：生命常青，教育常新,2023-01-12,https://yz.chsi.com.cn/kyzx/kydt/202301/20230112/2254382354.html
研究生招生考试中组织他人作弊,2023-01-11,https://yz.chsi.com.cn/kyzx/kydt/202301/20230111/2253346975.html
众志成城护研考——二〇二三年全国硕士研究生招生考试回眸,2023-01-11,https://yz.chsi.com.cn/kyzx/kydt/202301/20230111/2253346949.html
湖北省2023年全国硕士研究生招生考试（初试）成绩公布时间及复核办法,2023-01-06,https://yz.chsi.com.cn/kyzx/kydt/202301/20230106/2252157560.html
